Time,WM1,WM2,WM3,WM4,WM5
20:59:25.154,0,0,0,0,0
20:59:25.154,1,0,0,0,0
20:59:25.687,1,0,0,0,0
20:59:25.687,0,0,0,0,0
20:59:26.202,0,0,0,0,0
20:59:26.202,1,0,0,0,0
20:59:26.702,1,0,0,0,0
20:59:26.702,0,0,0,0,0
20:59:27.305,0,0,0,0,0
20:59:27.305,1,0,0,0,0
20:59:27.818,1,0,0,0,0
20:59:27.818,0,0,0,0,0
20:59:28.333,0,0,0,0,0
20:59:28.333,1,0,0,0,0
20:59:28.946,1,0,0,0,0
20:59:28.946,0,0,0,0,0
20:59:29.450,0,0,0,0,0
20:59:29.450,1,0,0,0,0
20:59:29.950,1,0,0,0,0
20:59:29.950,0,0,0,0,0
20:59:30.535,0,0,0,0,0
20:59:30.535,1,0,0,0,0
20:59:31.050,1,0,0,0,0
20:59:31.050,0,0,0,0,0
20:59:31.565,0,0,0,0,0
20:59:31.565,1,0,0,0,0
20:59:32.153,1,0,0,0,0
20:59:32.153,0,0,0,0,0
20:59:32.667,0,0,0,0,0
20:59:32.667,1,0,0,0,0
20:59:33.170,1,0,0,0,0
20:59:33.170,0,0,0,0,0
20:59:33.763,0,0,0,0,0
20:59:33.763,1,0,0,0,0
20:59:34.272,1,0,0,0,0
20:59:34.272,0,0,0,0,0
20:59:34.784,0,0,0,0,0
20:59:34.784,1,0,0,0,0
20:59:35.398,1,0,0,0,0
20:59:35.398,0,0,0,0,0
20:59:35.900,0,0,0,0,0
20:59:35.900,1,0,0,0,0
20:59:36.401,1,0,0,0,0
20:59:36.401,0,0,0,0,0
20:59:37.031,0,0,0,0,0
20:59:37.031,1,0,0,0,0
20:59:37.537,1,0,0,0,0
20:59:37.537,0,0,0,0,0
20:59:38.037,0,0,0,0,0
20:59:38.037,1,0,0,0,0
20:59:38.628,1,0,0,0,0
20:59:38.628,0,0,0,0,0
20:59:39.129,0,0,0,0,0
20:59:39.129,1,0,0,0,0
20:59:39.631,1,0,0,0,0
