Time,WM1,WM2,WM3,WM4,WM5
07:57:03.967,1,0,0,0,0
07:57:03.967,0,0,0,0,0
07:57:04.461,0,1,0,0,0
07:57:04.461,0,0,0,0,0
07:57:04.858,0,0,1,0,0
07:57:04.858,0,0,0,0,0
07:57:05.263,0,0,0,1,0
07:57:05.263,0,0,0,0,0
07:59:19.128,0,0,0,0,0
07:59:19.128,1,0,0,0,0
07:59:19.219,1,0,0,0,0
07:59:19.219,0,0,0,0,0
07:59:21.021,0,0,0,0,0
07:59:21.021,1,0,0,0,0
07:59:22.834,1,0,0,0,0
07:59:22.834,0,0,0,0,0
07:59:24.636,0,0,0,0,0
07:59:24.636,1,0,0,0,0
07:59:26.435,1,0,0,0,0
07:59:26.435,0,0,0,0,0
07:59:28.237,0,0,0,0,0
07:59:28.237,1,0,0,0,0
07:59:30.042,1,0,0,0,0
07:59:30.042,0,0,0,0,0
07:59:31.852,0,0,0,0,0
07:59:31.852,1,0,0,0,0
07:59:33.658,1,0,0,0,0
07:59:33.658,0,0,0,0,0
07:59:35.467,0,0,0,0,0
07:59:35.467,1,0,0,0,0
07:59:37.272,1,0,0,0,0
07:59:37.272,0,0,0,0,0
07:59:39.077,0,0,0,0,0
07:59:39.077,1,0,0,0,0
07:59:40.884,1,0,0,0,0
07:59:40.884,0,0,0,0,0
07:59:42.692,0,0,0,0,0
07:59:42.692,1,0,0,0,0
07:59:44.503,1,0,0,0,0
07:59:44.503,0,0,0,0,0
07:59:46.311,0,0,0,0,0
07:59:46.311,1,0,0,0,0
07:59:48.120,1,0,0,0,0
07:59:48.120,0,0,0,0,0
07:59:49.929,0,0,0,0,0
07:59:49.929,1,0,0,0,0
07:59:51.736,1,0,0,0,0
07:59:51.736,0,0,0,0,0
07:59:53.542,0,0,0,0,0
07:59:53.542,1,0,0,0,0
07:59:55.348,1,0,0,0,0
07:59:55.348,0,0,0,0,0
07:59:57.161,0,0,0,0,0
07:59:57.161,1,0,0,0,0
07:59:58.967,1,0,0,0,0
07:59:58.967,0,0,0,0,0
