Time,WM1,WM2,WM3,WM4,WM5
09:11:04.358,1,0,0,0,0
09:11:04.358,0,0,0,0,0
09:17:27.559,0,0,0,0,0
09:17:27.559,1,0,0,0,0
09:17:28.072,1,0,0,0,0
09:17:28.072,0,0,0,0,0
09:17:28.581,0,0,0,0,0
09:17:28.581,1,0,0,0,0
09:17:29.086,1,0,0,0,0
09:17:29.086,0,0,0,0,0
09:17:29.592,0,0,0,0,0
09:17:29.592,1,0,0,0,0
09:17:30.098,1,0,0,0,0
09:17:30.098,0,0,0,0,0
09:17:30.604,0,0,0,0,0
09:17:30.604,1,0,0,0,0
09:17:31.113,1,0,0,0,0
09:17:31.113,0,0,0,0,0
09:17:31.621,0,0,0,0,0
09:17:31.621,1,0,0,0,0
09:17:32.139,1,0,0,0,0
09:17:32.139,0,0,0,0,0
09:17:32.557,1,0,0,0,0
09:17:32.557,0,0,0,0,0
09:17:37.580,0,0,0,0,0
09:17:37.580,0,1,0,0,0
09:17:38.086,0,1,0,0,0
09:17:38.086,0,0,0,0,0
09:17:38.594,0,0,0,0,0
09:17:38.594,0,1,0,0,0
09:17:39.098,0,1,0,0,0
09:17:39.098,0,0,0,0,0
09:17:39.606,0,0,0,0,0
09:17:39.606,0,1,0,0,0
09:17:40.114,0,1,0,0,0
09:17:40.114,0,0,0,0,0
09:17:40.623,0,0,0,0,0
09:17:40.623,0,1,0,0,0
09:17:41.132,0,1,0,0,0
09:17:41.132,0,0,0,0,0
09:17:41.639,0,0,0,0,0
09:17:41.639,0,1,0,0,0
09:17:42.146,0,1,0,0,0
09:17:42.146,0,0,0,0,0
09:17:42.625,0,1,0,0,0
09:17:42.625,0,0,0,0,0
09:17:58.266,0,0,0,0,0
09:17:58.266,0,0,1,0,0
09:17:58.766,0,0,1,0,0
09:17:58.766,0,0,0,0,0
09:17:59.275,0,0,0,0,0
09:17:59.275,0,0,1,0,0
09:17:59.784,0,0,1,0,0
09:17:59.784,0,0,0,0,0
09:18:00.289,0,0,0,0,0
09:18:00.289,0,0,1,0,0
09:18:00.824,0,0,1,0,0
09:18:00.824,0,0,0,0,0
09:18:01.336,0,0,0,0,0
09:18:01.336,0,0,1,0,0
09:18:01.847,0,0,1,0,0
09:18:01.847,0,0,0,0,0
09:18:02.359,0,0,0,0,0
09:18:02.359,0,0,1,0,0
09:18:02.883,0,0,1,0,0
09:18:02.883,0,0,0,0,0
09:18:03.392,0,0,0,0,0
09:18:03.392,0,0,1,0,0
09:18:03.887,0,0,1,0,0
09:18:03.887,0,0,0,0,0
09:18:15.614,0,0,0,0,0
09:18:15.614,0,0,0,1,0
09:18:16.116,0,0,0,1,0
09:18:16.116,0,0,0,0,0
09:18:16.624,0,0,0,0,0
09:18:16.624,0,0,0,1,0
09:18:17.132,0,0,0,1,0
09:18:17.132,0,0,0,0,0
09:18:17.640,0,0,0,0,0
09:18:17.640,0,0,0,1,0
09:18:18.164,0,0,0,1,0
09:18:18.164,0,0,0,0,0
09:18:18.672,0,0,0,0,0
09:18:18.672,0,0,0,1,0
09:18:19.182,0,0,0,1,0
09:18:19.182,0,0,0,0,0
09:18:19.691,0,0,0,0,0
09:18:19.691,0,0,0,1,0
09:18:20.218,0,0,0,1,0
09:18:20.218,0,0,0,0,0
09:18:20.727,0,0,0,0,0
09:18:20.727,0,0,0,1,0
09:18:21.236,0,0,0,1,0
09:18:21.236,0,0,0,0,0
09:18:21.238,0,0,0,1,0
09:18:21.238,0,0,0,0,0
09:18:27.326,0,0,0,0,0
09:18:27.326,0,0,0,0,1
09:18:27.831,0,0,0,0,1
09:18:27.831,0,0,0,0,0
09:18:28.341,0,0,0,0,0
09:18:28.341,0,0,0,0,1
09:18:28.850,0,0,0,0,1
09:18:28.850,0,0,0,0,0
09:18:29.358,0,0,0,0,0
09:18:29.358,0,0,0,0,1
09:18:29.864,0,0,0,0,1
09:18:29.864,0,0,0,0,0
09:18:30.369,0,0,0,0,0
09:18:30.369,0,0,0,0,1
09:18:30.898,0,0,0,0,1
09:18:30.898,0,0,0,0,0
09:18:31.401,0,0,0,0,0
09:18:31.401,0,0,0,0,1
09:18:31.907,0,0,0,0,1
09:18:31.907,0,0,0,0,0
09:18:32.415,0,0,0,0,0
09:18:32.415,0,0,0,0,1
09:18:32.577,0,0,0,0,1
09:18:32.577,0,0,0,0,0
