Time,WM1,WM2,WM3,WM4,WM5
03:06:56.854,1,0,0,0,0
03:06:56.854,1,0,0,1,0
03:06:56.858,1,0,0,1,0
03:06:56.858,1,0,0,1,1
03:06:56.858,1,0,0,1,1
03:06:56.858,0,0,0,1,1
03:06:57.473,0,0,0,1,1
03:06:57.473,0,0,0,0,1
03:06:57.473,0,0,0,0,1
03:06:57.473,0,0,0,0,0
03:06:58.088,0,0,0,0,0
03:06:58.088,0,0,0,1,0
03:06:58.088,0,0,0,1,0
03:06:58.088,0,0,0,1,1
03:06:58.676,0,0,0,1,1
03:06:58.676,1,0,0,1,1
03:06:58.708,1,0,0,1,1
03:06:58.708,1,0,0,0,1
03:06:58.708,1,0,0,0,1
03:06:58.708,1,0,0,0,0
03:06:59.321,1,0,0,0,0
03:06:59.321,1,0,0,1,0
03:06:59.573,1,0,0,1,0
03:06:59.573,1,0,0,1,1
03:07:00.184,1,0,0,1,1
03:07:00.184,1,0,0,0,1
03:07:00.185,1,0,0,0,1
03:07:00.185,1,0,0,0,0
03:07:00.490,1,0,0,0,0
03:07:00.490,0,0,0,0,0
03:07:00.786,0,0,0,0,0
03:07:00.786,0,0,0,1,0
03:07:00.786,0,0,0,1,0
03:07:00.786,0,0,0,1,1
03:07:01.434,0,0,0,1,1
03:07:01.434,0,0,0,0,1
03:07:01.435,0,0,0,0,1
03:07:01.435,0,0,0,0,0
03:07:02.043,0,0,0,0,0
03:07:02.043,0,0,0,1,0
03:07:02.043,0,0,0,1,0
03:07:02.043,0,0,0,1,1
03:07:02.295,0,0,0,1,1
03:07:02.295,1,0,0,1,1
03:07:02.657,1,0,0,1,1
03:07:02.657,1,0,0,0,1
03:07:02.658,1,0,0,0,1
03:07:02.658,1,0,0,0,0
03:07:03.266,1,0,0,0,0
03:07:03.266,1,0,0,1,0
03:07:03.266,1,0,0,1,0
03:07:03.266,1,0,0,1,1
03:07:03.919,1,0,0,1,1
03:07:03.919,1,0,0,0,1
03:07:03.919,1,0,0,0,1
03:07:03.919,1,0,0,0,0
03:07:04.108,1,0,0,0,0
03:07:04.108,0,0,0,0,0
03:07:04.520,0,0,0,0,0
03:07:04.520,0,0,0,1,0
03:07:04.520,0,0,0,1,0
03:07:04.520,0,0,0,1,1
03:07:05.162,0,0,0,1,1
03:07:05.162,0,0,0,0,1
03:07:05.162,0,0,0,0,1
03:07:05.162,0,0,0,0,0
03:07:05.767,0,0,0,0,0
03:07:05.767,0,0,0,1,0
03:07:05.767,0,0,0,1,0
03:07:05.767,0,0,0,1,1
03:07:05.910,0,0,0,1,1
03:07:05.910,1,0,0,1,1
03:07:06.351,1,0,0,1,1
03:07:06.351,1,0,0,0,1
03:07:06.367,1,0,0,0,1
03:07:06.367,1,0,0,0,0
03:07:06.966,1,0,0,0,0
03:07:06.966,1,0,0,1,0
03:07:06.966,1,0,0,1,0
03:07:06.966,1,0,0,1,1
03:07:07.646,1,0,0,1,1
03:07:07.646,1,0,0,0,1
03:07:07.646,1,0,0,0,1
03:07:07.646,1,0,0,0,0
03:07:07.708,1,0,0,0,0
03:07:07.708,0,0,0,0,0
03:07:08.261,0,0,0,0,0
03:07:08.261,0,0,0,1,0
03:07:08.261,0,0,0,1,0
03:07:08.261,0,0,0,1,1
03:07:08.864,0,0,0,1,1
03:07:08.864,0,0,0,0,1
03:07:08.864,0,0,0,0,1
03:07:08.864,0,0,0,0,0
03:07:09.450,0,0,0,0,0
03:07:09.450,0,0,0,1,0
03:07:09.465,0,0,0,1,0
03:07:09.465,0,0,0,1,1
03:07:09.525,0,0,0,1,1
03:07:09.525,1,0,0,1,1
03:07:10.079,1,0,0,1,1
03:07:10.079,1,0,0,0,1
03:07:10.079,1,0,0,0,1
03:07:10.079,1,0,0,0,0
03:07:10.728,1,0,0,0,0
03:07:10.728,1,0,0,1,0
03:07:10.728,1,0,0,1,0
03:07:10.728,1,0,0,1,1
03:07:11.755,1,0,0,1,1
03:07:11.755,0,0,0,1,1
03:07:11.755,0,0,0,1,1
03:07:11.755,0,0,0,0,1
03:07:11.755,0,0,0,0,1
03:07:11.755,0,0,0,0,0
03:07:12.364,0,0,0,0,0
03:07:12.364,0,0,0,1,0
03:07:12.364,0,0,0,1,0
03:07:12.364,0,0,0,1,1
03:07:12.977,0,0,0,1,1
03:07:12.977,0,0,0,0,1
03:07:12.977,0,0,0,0,1
03:07:12.977,0,0,0,0,0
03:07:13.553,0,0,0,0,0
03:07:13.553,1,0,0,0,0
03:07:13.575,1,0,0,0,0
03:07:13.575,1,0,0,1,0
03:07:13.575,1,0,0,1,0
03:07:13.575,1,0,0,1,1
03:07:14.190,1,0,0,1,1
03:07:14.190,1,0,0,0,1
03:07:14.190,1,0,0,0,1
03:07:14.190,1,0,0,0,0
03:07:14.869,1,0,0,0,0
03:07:14.869,1,0,0,1,0
03:07:14.869,1,0,0,1,0
03:07:14.869,1,0,0,1,1
03:07:15.358,1,0,0,1,1
03:07:15.358,0,0,0,1,1
03:07:15.627,0,0,0,1,1
03:07:15.627,0,0,0,0,1
03:07:15.627,0,0,0,0,1
03:07:15.627,0,0,0,0,0
03:07:16.230,0,0,0,0,0
03:07:16.230,0,0,0,1,0
03:07:16.230,0,0,0,1,0
03:07:16.230,0,0,0,1,1
03:07:16.975,0,0,0,1,1
03:07:16.975,0,0,0,0,1
03:07:16.975,0,0,0,0,1
03:07:16.975,0,0,0,0,0
03:07:17.243,0,0,0,0,0
03:07:17.243,1,0,0,0,0
03:07:17.630,1,0,0,0,0
03:07:17.630,1,0,0,1,0
03:07:17.630,1,0,0,1,0
03:07:17.630,1,0,0,1,1
03:07:18.562,1,0,0,1,1
03:07:18.562,1,0,0,0,1
03:07:18.562,1,0,0,0,1
03:07:18.562,1,0,0,0,0
03:07:19.579,1,0,0,0,0
03:07:19.579,0,0,0,0,0
03:07:19.579,0,0,0,0,0
03:07:19.579,0,0,0,1,0
03:07:19.579,0,0,0,1,0
03:07:19.579,0,0,0,1,1
03:07:20.267,0,0,0,1,1
03:07:20.267,0,0,0,0,1
03:07:20.267,0,0,0,0,1
03:07:20.267,0,0,0,0,0
03:07:20.880,0,0,0,0,0
03:07:20.880,0,0,0,1,0
03:07:20.880,0,0,0,1,0
03:07:20.880,0,0,0,1,1
03:07:21.449,0,0,0,1,1
03:07:21.449,1,0,0,1,1
03:07:21.592,1,0,0,1,1
03:07:21.592,1,0,0,0,1
03:07:21.592,1,0,0,0,1
03:07:21.592,1,0,0,0,0
03:07:22.238,1,0,0,0,0
03:07:22.238,1,0,0,1,0
03:07:22.238,1,0,0,1,0
03:07:22.238,1,0,0,1,1
03:07:22.920,1,0,0,1,1
03:07:22.920,1,0,0,0,1
03:07:22.920,1,0,0,0,1
03:07:22.920,1,0,0,0,0
03:07:23.425,1,0,0,0,0
03:07:23.425,0,0,0,0,0
03:07:23.555,0,0,0,0,0
03:07:23.555,0,0,0,1,0
03:07:23.555,0,0,0,1,0
03:07:23.555,0,0,0,1,1
03:07:24.216,0,0,0,1,1
03:07:24.216,0,0,0,0,1
03:07:24.216,0,0,0,0,1
03:07:24.216,0,0,0,0,0
03:07:24.972,0,0,0,0,0
03:07:24.972,0,0,0,1,0
03:07:24.972,0,0,0,1,0
03:07:24.972,0,0,0,1,1
03:07:25.461,0,0,0,1,1
03:07:25.461,1,0,0,1,1
03:07:25.624,1,0,0,1,1
03:07:25.624,1,0,0,0,1
03:07:25.624,1,0,0,0,1
03:07:25.624,1,0,0,0,0
03:07:26.236,1,0,0,0,0
03:07:26.236,1,0,0,1,0
03:07:26.236,1,0,0,1,0
03:07:26.236,1,0,0,1,1
03:07:26.839,1,0,0,1,1
03:07:26.839,1,0,0,0,1
03:07:26.839,1,0,0,0,1
03:07:26.839,1,0,0,0,0
03:07:27.297,1,0,0,0,0
03:07:27.297,0,0,0,0,0
03:07:27.968,0,0,0,0,0
03:07:27.968,0,0,0,1,0
03:07:27.968,0,0,0,1,0
03:07:27.968,0,0,0,1,1
03:07:28.644,0,0,0,1,1
03:07:28.644,0,0,0,0,1
03:07:28.644,0,0,0,0,1
03:07:28.644,0,0,0,0,0
03:07:29.161,0,0,0,0,0
03:07:29.161,1,0,0,0,0
03:07:29.358,1,0,0,0,0
03:07:29.358,1,0,0,1,0
03:07:29.358,1,0,0,1,0
03:07:29.358,1,0,0,1,1
03:07:30.604,1,0,0,1,1
03:07:30.604,1,0,0,0,1
03:07:30.604,1,0,0,0,1
03:07:30.604,1,0,0,0,0
03:07:31.062,1,0,0,0,0
03:07:31.062,0,0,0,0,0
03:07:31.216,0,0,0,0,0
03:07:31.216,0,0,0,1,0
